ingredient_id,name,category_id,carbon_foot_print,carbon_foot_print_source,carbon_foot_print_weight,water_foot_print,water_foot_print_source,water_foot_print_weight,kcal,kcal_weight,protein,protein_weight,fat,fat_weight,carbohydrates,carbohydrates_weight,fiber,fiber_weight,created_at,updated_at
17,"spices, ginger, ground",116,,,100,,,1000,335,100,8.98,100,4.24,100,71.62,100,14.1,100,2022-10-24 17:13:17,2022-10-24 17:14:46
18,"nectarines, raw",78,0.24333333333333332,edamam_hits_similarity,100,,,1000,44,100,1.06,100,0.32,100,10.55,100,1.7,100,2022-10-24 17:13:17,2022-10-24 17:14:46
19,"nuts, chestnuts, european, dried, peeled",,,,100,,,1000,369,100,5.01,100,3.91,100,78.43,100,,,2022-10-24 17:13:17,2022-10-24 17:13:17
20,"vinegar, distilled",128,,,100,,,1000,18,100,0,100,0,100,0.04,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
21,"vinegar, red wine",,,,100,,,1000,19,100,0.04,100,0,100,0.27,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
22,"fish, salmon, atlantic, wild, raw",,,,100,,,1000,142,100,19.84,100,6.34,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
23,"croutons, plain",,,,100,,,1000,407,100,11.9,100,6.6,100,73.5,100,5.1,100,2022-10-24 17:13:17,2022-10-24 17:13:17
24,"seeds, sesame seeds, whole, dried",,,,100,,,1000,573,100,17.73,100,49.67,100,23.45,100,11.8,100,2022-10-24 17:13:17,2022-10-24 17:13:17
25,"radishes, raw",103,,,100,,,1000,16,100,0.68,100,0.1,100,3.4,100,1.6,100,2022-10-24 17:13:17,2022-10-24 17:14:46
26,"syrup, cane",,,,100,,,1000,269,100,0,100,0,100,73.14,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
27,"olives, ripe, canned (small-extra large)",83,,,100,,,1000,115,100,0.84,100,10.68,100,6.26,100,3.2,100,2022-10-24 17:13:17,2022-10-24 17:14:46
28,"cabbage, raw",20,0.1521,corgis_category_mean,100,280,corgis_category_mean,1000,25,100,1.28,100,0.1,100,5.8,100,2.5,100,2022-10-24 17:13:17,2022-10-24 17:14:46
29,"sauce, ready-to-serve, pepper, tabasco",109,,,100,,,1000,12,100,1.29,100,0.76,100,0.8,100,0.6,100,2022-10-24 17:13:17,2022-10-24 17:14:46
30,"ginger root, raw",51,0.045235,corgis_category_mean,100,1657,corgis_category_mean,1000,80,100,1.82,100,0.75,100,17.77,100,2,100,2022-10-24 17:13:17,2022-10-24 17:14:46
31,"currants, zante, dried",41,0.21000000000000002,edamam_hits_similarity,100,,,1000,283,100,4.08,100,0.27,100,74.08,100,6.8,100,2022-10-24 17:13:17,2022-10-24 17:14:46
32,"grapes, red or green (european type, such as thompson seedless), raw",53,,,100,,,1000,69,100,0.72,100,0.16,100,18.1,100,0.9,100,2022-10-24 17:13:17,2022-10-24 17:14:46
33,"wheat flour, white, cake, enriched",,,,100,,,1000,362,100,8.2,100,0.86,100,78.03,100,1.7,100,2022-10-24 17:13:17,2022-10-24 17:13:17
34,"lemonade, frozen concentrate, white, prepared with water",,,,100,,,1000,40,100,0.07,100,0.04,100,10.42,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
35,"ice creams, strawberry",,,,100,,,1000,192,100,3.2,100,8.4,100,27.6,100,0.9,100,2022-10-24 17:13:17,2022-10-24 17:13:17
36,"watermelon, raw",130,,,100,,,1000,30,100,0.61,100,0.15,100,7.55,100,0.4,100,2022-10-24 17:13:17,2022-10-24 17:14:46
37,"spices, chili powder",116,,,100,,,1000,282,100,13.46,100,14.28,100,49.7,100,34.8,100,2022-10-24 17:13:17,2022-10-24 17:14:46
38,"beans, adzuki, mature seeds, raw",,,,100,,,1000,329,100,19.87,100,0.53,100,62.9,100,12.7,100,2022-10-24 17:13:17,2022-10-24 17:13:17
39,"sauce, hot chile, sriracha",,0.022176,myemissions.green,100,,,1000,11,100,0.51,100,0.37,100,1.75,100,0.3,100,2022-10-24 17:13:17,2022-10-24 17:13:17
40,"tomato sauce, canned, no salt added",115,0.24324400000000002,myemissions.green,100,214,healabel,1000,18,100,0.88,100,0.2,100,3.89,100,1.2,100,2022-10-24 17:13:17,2022-10-24 17:14:46
41,"leeks, (bulb and lower leaf-portion), raw",61,,,100,,,1000,61,100,1.5,100,0.3,100,14.15,100,1.8,100,2022-10-24 17:13:17,2022-10-24 17:14:46
42,"nuts, pine nuts, dried",79,0.20558600000000002,corgis_category_mean,100,,,1000,673,100,13.69,100,68.37,100,13.08,100,3.7,100,2022-10-24 17:13:17,2022-10-24 17:14:46
43,"sauce, pasta, spaghetti/marinara, ready-to-serve",109,,,100,,,1000,49,100,1.41,100,1.48,100,7.53,100,1.8,100,2022-10-24 17:13:17,2022-10-24 17:14:46
44,"house of pasta, pizza dough, upc: 074708983316",66,0.137431,myemissions.green,100,1849,healabel,1000,371,100,13.04,100,1.51,100,74.67,100,3.2,100,2022-10-24 17:13:17,2022-10-24 17:14:46
45,"seeds, pumpkin and squash seeds, whole, roasted, without salt",,,,100,,,1000,446,100,18.55,100,19.4,100,53.75,100,18.4,100,2022-10-24 17:13:17,2022-10-24 17:13:17
46,"sauerkraut, canned, solids and liquids",110,,,100,,,1000,19,100,0.91,100,0.14,100,4.28,100,2.9,100,2022-10-24 17:13:17,2022-10-24 17:14:46
47,"chicken, broilers or fryers, wing, meat and skin, raw",,,,100,,,1000,191,100,17.52,100,13.16,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
48,"sugars, powdered",120,,,100,,,1000,389,100,0,100,0,100,99.77,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
49,"cheese, fontina",28,0.810181,corgis_category_mean,100,5060,corgis_category_mean,1000,389,100,25.6,100,31.14,100,1.55,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
50,"alcoholic beverage, beer, regular, all",1,0.0767825,corgis_category_mean,100,298,corgis_category_mean,1000,43,100,0.46,100,0,100,3.55,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
51,"spices, rosemary, dried",,,,100,,,1000,331,100,4.88,100,15.22,100,64.06,100,42.6,100,2022-10-24 17:13:17,2022-10-24 17:13:17
52,"beverages, almond milk, unsweetened, shelf stable",13,0.056499999999999995,myemissions.green,100,7052,corgis_category_mean,1000,15,100,0.59,100,1.1,100,1.15,100,0.58,100,2022-10-24 17:13:17,2022-10-24 17:14:46
53,"spices, onion powder",116,,,100,,,1000,341,100,10.41,100,1.04,100,79.12,100,15.2,100,2022-10-24 17:13:17,2022-10-24 17:14:46
54,"goji berries, dried",,,,100,,,1000,349,100,14.26,100,0.39,100,77.06,100,13,100,2022-10-24 17:13:17,2022-10-24 17:13:17
55,"kielbasa, polish, turkey and beef, smoked",,,,100,,,1000,226,100,13.1,100,17.6,100,3.9,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
56,"cheese, pasteurized process, american, without added vitamin d",28,0.810181,corgis_category_mean,100,5060,corgis_category_mean,1000,371,100,18.13,100,31.79,100,3.7,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
57,"cornmeal, degermed, unenriched, yellow",,,,100,,,1000,370,100,7.11,100,1.75,100,79.45,100,3.9,100,2022-10-24 17:13:17,2022-10-24 17:13:17
58,"wheat germ, crude",,,,100,,,1000,360,100,23.15,100,9.72,100,51.8,100,13.2,100,2022-10-24 17:13:17,2022-10-24 17:13:17
59,"cheese, cottage, creamed, large or small curd",28,0.810181,corgis_category_mean,100,5060,corgis_category_mean,1000,98,100,11.12,100,4.3,100,3.38,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
60,"parsnips, raw",,0.067763,edamam_hits_similarity,100,,,1000,75,100,1.2,100,0.3,100,17.99,100,4.9,100,2022-10-24 17:13:17,2022-10-24 17:13:17
61,"spices, pepper, red or cayenne",116,,,100,,,1000,318,100,12.01,100,17.27,100,56.63,100,27.2,100,2022-10-24 17:13:17,2022-10-24 17:14:46
62,"cream, whipped, cream topping, pressurized",39,0.372404,edamam_hits_similarity,100,,,1000,257,100,3.2,100,22.22,100,12.49,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
63,"margarine-like, margarine-butter blend, soybean oil and butter",,,,100,,,1000,727,100,0.31,100,80.32,100,0.77,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
64,"beverages, protein powder whey based",13,0.18480034375,corgis_category_mean,100,7052,corgis_category_mean,1000,352,100,78.13,100,1.56,100,6.25,100,3.1,100,2022-10-24 17:13:17,2022-10-24 17:14:46
65,"ice creams, vanilla",56,,,100,,,1000,207,100,3.5,100,11,100,23.6,100,0.7,100,2022-10-24 17:13:17,2022-10-24 17:14:46
66,"fast foods, coleslaw",,,,100,,,1000,153,100,0.95,100,9.91,100,14.89,100,1.9,100,2022-10-24 17:13:17,2022-10-24 17:13:17
67,"okra, raw",82,,,100,,,1000,33,100,1.93,100,0.19,100,7.45,100,3.2,100,2022-10-24 17:13:17,2022-10-24 17:14:46
68,"wild rice, raw",132,,,100,,,1000,357,100,14.73,100,1.08,100,74.9,100,6.2,100,2022-10-24 17:13:17,2022-10-24 17:14:46
69,"beverages, carbonated, ginger ale",13,0.18480034375,corgis_category_mean,100,7052,corgis_category_mean,1000,34,100,0,100,0,100,8.77,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
70,"blackberries, raw",14,0.286,edamam_hits_similarity,100,,,1000,43,100,1.39,100,0.49,100,9.61,100,5.3,100,2022-10-24 17:13:17,2022-10-24 17:14:46
71,"lentils, raw",63,0.067038,edamam_hits_similarity,100,,,1000,352,100,24.63,100,1.06,100,63.35,100,10.7,100,2022-10-24 17:13:17,2022-10-24 17:14:46
72,"sauce, fish, ready-to-serve",109,,,100,,,1000,35,100,5.06,100,0.01,100,3.64,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
73,"shallots, raw",,0.10511999999999999,edamam_hits_similarity,100,,,1000,72,100,2.5,100,0.1,100,16.8,100,3.2,100,2022-10-24 17:13:17,2022-10-24 17:13:17
74,"seeds, chia seeds, dried",,0.42000000000000004,edamam_hits_similarity,100,,,1000,486,100,16.54,100,30.74,100,42.12,100,34.4,100,2022-10-24 17:13:17,2022-10-24 17:13:17
75,"oil, canola",81,,,100,,,1000,884,100,0,100,100,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
76,"tofu, raw, regular, prepared with calcium sulfate",,,,100,,,1000,76,100,8.08,100,4.78,100,1.88,100,0.3,100,2022-10-24 17:13:17,2022-10-24 17:13:17
77,"mollusks, scallop, (bay and sea), cooked, steamed",75,0.30364300000000005,corgis_category_mean,100,,,1000,111,100,20.54,100,0.84,100,5.41,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
78,"edamame, frozen, prepared",44,,,100,,,1000,122,100,10.88,100,5.2,100,9.94,100,5.2,100,2022-10-24 17:13:17,2022-10-24 17:14:46
79,"nuts, macadamia nuts, raw",,,,100,,,1000,718,100,7.91,100,75.77,100,13.82,100,8.6,100,2022-10-24 17:13:17,2022-10-24 17:13:17
80,"fish, catfish, channel, wild, raw",,,,100,,,1000,95,100,16.38,100,2.82,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
81,"sauce, oyster, ready-to-serve",109,,,100,,,1000,51,100,1.35,100,0.25,100,10.92,100,0.3,100,2022-10-24 17:13:17,2022-10-24 17:14:46
82,"fennel, bulb, raw",47,,,100,,,1000,31,100,1.24,100,0.2,100,7.3,100,3.1,100,2022-10-24 17:13:17,2022-10-24 17:14:46
83,"shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)",,,,100,,,1000,884,100,0,100,100,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
84,"snacks, popcorn, air-popped (unsalted)",114,0.2751166666666667,corgis_category_mean,100,595,corgis_category_mean,1000,387,100,12.94,100,4.54,100,77.78,100,14.5,100,2022-10-24 17:13:17,2022-10-24 17:14:46
85,"sweet potato, raw, unprepared",121,0.1273,corgis_category_mean,100,383,corgis_category_mean,1000,86,100,1.57,100,0.05,100,20.12,100,3,100,2022-10-24 17:13:17,2022-10-24 17:14:46
86,"marketside, balsamic vinaigrette dressing, upc: 681131070317",,,,100,,,1000,86,100,0.19,100,5.94,100,24.65,100,0.4,100,2022-10-24 17:13:17,2022-10-24 17:13:17
87,"alcoholic beverage, liqueur, coffee, 53 proof",1,0.0767825,corgis_category_mean,100,298,corgis_category_mean,1000,336,100,0.1,100,0.3,100,46.8,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
88,"a cajun life, all purpose cajun seasoning, upc: 095225879272",,,,100,,,1000,307,100,9.59,100,7.53,100,65.59,100,11.3,100,2022-10-24 17:13:17,2022-10-24 17:13:17
89,"pretzels, soft, unsalted",99,,,100,,,1000,345,100,8.2,100,3.1,100,71.04,100,1.7,100,2022-10-24 17:13:17,2022-10-24 17:14:46
90,"mushrooms, shiitake, raw",,,,100,,,1000,34,100,2.24,100,0.49,100,6.79,100,2.5,100,2022-10-24 17:13:17,2022-10-24 17:13:17
91,"pascha, organic bitter-sweet dark chocolate chips, upc: 842638005022",,0.23203000000000001,myemissions.green,100,,,1000,231,100,0,100,0,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
92,"spices, bay leaf",,,,100,,,1000,313,100,7.61,100,8.36,100,74.97,100,26.3,100,2022-10-24 17:13:17,2022-10-24 17:13:17
93,"spices, parsley, dried",116,,,100,,,1000,292,100,26.63,100,5.48,100,50.64,100,26.7,100,2022-10-24 17:13:17,2022-10-24 17:14:46
94,"oil, olive, salad or cooking",81,,,100,,,1000,884,100,0,100,100,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
95,okara,,,,100,,,1000,77,100,3.22,100,1.73,100,12.54,100,,,2022-10-24 17:13:17,2022-10-24 17:13:17
96,"nuts, pistachio nuts, raw",,0.20558600000000002,edamam_hits_similarity,100,,,1000,562,100,20.27,100,45.39,100,27.51,100,10.3,100,2022-10-24 17:13:17,2022-10-24 17:13:17
97,oats,,0.07850000000000001,myemissions.green,100,1788,healabel,1000,389,100,16.89,100,6.9,100,66.27,100,10.6,100,2022-10-24 17:13:17,2022-10-24 17:13:17
98,"beverages, carbonated, cola, regular",13,0.062195,myemissions.green,100,7052,corgis_category_mean,1000,37,100,0.07,100,0.02,100,9.56,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
99,"limeade, frozen concentrate, prepared with water",,,,100,,,1000,52,100,0,100,0,100,13.79,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
100,"tomatoes, sun-dried",126,0.28746879999999997,corgis_category_mean,100,214,corgis_category_mean,1000,258,100,14.11,100,2.97,100,55.76,100,12.3,100,2022-10-24 17:13:17,2022-10-24 17:14:46
101,"pepperoni, beef and pork, sliced",91,,,100,,,1000,494,100,22.9,100,43.5,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
102,"candies, semisweet chocolate",21,0.4337648333333333,corgis_category_mean,100,7653,corgis_category_mean,1000,480,100,4.2,100,30,100,63.9,100,5.9,100,2022-10-24 17:13:17,2022-10-24 17:14:46
103,"cream, fluid, heavy whipping",39,,,100,,,1000,345,100,2.05,100,37,100,2.79,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
104,"sauce, pesto, ready-to-serve, refrigerated",,0.25258200000000003,myemissions.green,100,,,1000,332.584,100,5,100,31.4607,100,7.86517,100,1.68539,100,2022-10-24 17:13:17,2022-10-24 17:13:17
105,"lettuce, cos or romaine, raw",64,,,100,,,1000,17,100,1.23,100,0.3,100,3.29,100,2.1,100,2022-10-24 17:13:17,2022-10-24 17:14:46
106,"mango nectar, canned",67,0.87,myemissions.green,100,1800,healabel,1000,60,100,0.82,100,0.38,100,14.98,100,1.6,100,2022-10-24 17:13:17,2022-10-24 17:14:46
107,"baking chocolate, mars snackfood us, m&m's milk chocolate mini baking bits",,,,100,,,1000,502,100,4.78,100,23.36,100,68.4,100,2.7,100,2022-10-24 17:13:17,2022-10-24 17:13:17
108,"nuts, walnuts, english",79,0.20558600000000002,corgis_category_mean,100,,,1000,654,100,15.23,100,65.21,100,13.71,100,6.7,100,2022-10-24 17:13:17,2022-10-24 17:14:46
109,"spices, poppy seed",,,,100,,,1000,525,100,17.99,100,41.56,100,28.13,100,19.5,100,2022-10-24 17:13:17,2022-10-24 17:13:17
110,"oil, sesame, salad or cooking",81,,,100,,,1000,884,100,0,100,100,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
111,"salt, table",108,,,100,,,1000,0,100,0,100,0,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
112,"cock brand, palm sugar, upc: 084909007285",,,,100,,,1000,380,100,0.12,100,0,100,98.09,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
113,"spices, curry powder",,,,100,,,1000,325,100,14.29,100,14.01,100,55.83,100,53.2,100,2022-10-24 17:13:17,2022-10-24 17:13:17
114,"peanut butter, smooth style, without salt",89,,,100,,,1000,598,100,22.21,100,51.36,100,22.31,100,5,100,2022-10-24 17:13:17,2022-10-24 17:14:46
115,"syrups, grenadine",123,0.065599,corgis_category_mean,100,,,1000,268,100,0,100,0,100,66.91,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
116,"kale, raw",57,,,100,,,1000,49,100,4.28,100,0.93,100,8.75,100,3.6,100,2022-10-24 17:13:17,2022-10-24 17:14:46
117,"cheese, parmesan, hard",,0.7110650000000001,edamam_hits_similarity,100,,,1000,392,100,35.75,100,25.83,100,3.22,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
118,"sauce, hoisin, ready-to-serve",109,,,100,,,1000,220,100,3.31,100,3.39,100,44.08,100,2.8,100,2022-10-24 17:13:17,2022-10-24 17:14:46
119,"soup, chicken broth or bouillon, dry",,,,100,,,1000,267,100,16.66,100,13.88,100,18.01,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
120,"milk, buttermilk, fluid, cultured, lowfat",72,0.24041875000000001,corgis_category_mean,100,1020,corgis_category_mean,1000,40,100,3.31,100,0.88,100,4.79,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
121,"cheese, blue",28,0.810181,corgis_category_mean,100,5060,corgis_category_mean,1000,353,100,21.4,100,28.74,100,2.34,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
122,"beverages, gerolsteiner brunnen gmbh & co. kg,gerolsteiner naturally sparkling mineral water,",,,,100,,,1000,0,100,0,100,0,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
123,"pears, raw",90,0.25439999999999996,corgis_category_mean,100,922,corgis_category_mean,1000,57,100,0.36,100,0.14,100,15.23,100,3.1,100,2022-10-24 17:13:17,2022-10-24 17:14:46
124,"chives, raw",32,0.11325000000000002,edamam_hits_similarity,100,,,1000,30,100,3.27,100,0.73,100,4.35,100,2.5,100,2022-10-24 17:13:17,2022-10-24 17:14:46
125,"bread crumbs, dry, grated, plain",,,,100,,,1000,395,100,13.35,100,5.3,100,71.98,100,4.5,100,2022-10-24 17:13:17,2022-10-24 17:13:17
126,"la flor, steak seasoning, upc: 077636022157",107,4.3330329999999995,myemissions.green,100,,,1000,228,100,20,100,15.83,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
127,"alcoholic beverage, distilled, vodka, 80 proof",,,,100,,,1000,231,100,0,100,0,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
128,"il villaggio, mascarpone cheese, upc: 037982981300",,0.7416670000000001,myemissions.green,100,,,1000,342,100,5.93,100,34.24,100,4.07,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
129,"spices, caraway seed",116,,,100,,,1000,333,100,19.77,100,14.59,100,49.9,100,38,100,2022-10-24 17:13:17,2022-10-24 17:14:46
130,"cheese, mozzarella, low sodium",28,0.810181,corgis_category_mean,100,5060,corgis_category_mean,1000,280,100,27.5,100,17.1,100,3.1,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
131,"beverages, carbonated, root beer",13,0.18480034375,corgis_category_mean,100,7052,corgis_category_mean,1000,41,100,0,100,0,100,10.6,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
132,"noodles, japanese, soba, dry",,,,100,,,1000,336,100,14.38,100,0.71,100,74.62,100,,,2022-10-24 17:13:17,2022-10-24 17:13:17
133,"onions, raw",84,,,100,,,1000,40,100,1.1,100,0.1,100,9.34,100,1.7,100,2022-10-24 17:13:17,2022-10-24 17:14:46
134,"cranberry sauce, canned, sweetened",38,0.252,myemissions.green,100,276,healabel,1000,46,100,0.39,100,0.13,100,12.2,100,4.6,100,2022-10-24 17:13:17,2022-10-24 17:14:46
135,"delallo, italian seasoned breadcrumbs, upc: 072368104621",,0.12149900000000001,myemissions.green,100,,,1000,395,100,13.35,100,5.3,100,71.98,100,4.5,100,2022-10-24 17:13:17,2022-10-24 17:13:17
136,"bacon, meatless",9,0.662826,corgis_category_mean,100,0,corgis_category_mean,1000,310,100,10.68,100,29.52,100,6.32,100,2.6,100,2022-10-24 17:13:17,2022-10-24 17:14:46
137,"cherries, sweet, raw",29,0.269,corgis_category_mean,100,1411,corgis_category_mean,1000,63,100,1.06,100,0.2,100,16.01,100,2.1,100,2022-10-24 17:13:17,2022-10-24 17:14:46
138,"spices, paprika",116,0.11325000000000002,edamam_hits_similarity,100,,,1000,282,100,14.14,100,12.89,100,53.99,100,34.9,100,2022-10-24 17:13:17,2022-10-24 17:14:46
139,"melons, cantaloupe, raw",71,,,100,,,1000,34,100,0.84,100,0.19,100,8.16,100,0.9,100,2022-10-24 17:13:17,2022-10-24 17:14:46
140,catsup,24,0.15402000000000002,myemissions.green,100,534,healabel,1000,101,100,1.04,100,0.1,100,27.4,100,0.3,100,2022-10-24 17:13:17,2022-10-24 17:14:46
141,"sweetener, syrup, agave",122,,,100,,,1000,310,100,0.09,100,0.45,100,76.37,100,0.2,100,2022-10-24 17:13:17,2022-10-24 17:14:46
142,"asparagus, raw",6,0.4753333333333334,corgis_category_mean,100,2150,corgis_category_mean,1000,20,100,2.2,100,0.12,100,3.88,100,2.1,100,2022-10-24 17:13:17,2022-10-24 17:14:46
143,"broccoli, raw",16,0.10808000000000001,corgis_category_mean,100,285,corgis_category_mean,1000,34,100,2.82,100,0.37,100,6.64,100,2.6,100,2022-10-24 17:13:17,2022-10-24 17:14:46
144,"dill weed, fresh",,,,100,,,1000,43,100,3.46,100,1.12,100,7.02,100,2.1,100,2022-10-24 17:13:17,2022-10-24 17:13:17
145,"tamarinds, raw",124,,,100,,,1000,239,100,2.8,100,0.6,100,62.5,100,5.1,100,2022-10-24 17:13:17,2022-10-24 17:14:46
146,"corn, sweet, white, raw",,,,100,,,1000,86,100,3.22,100,1.18,100,19.02,100,2.7,100,2022-10-24 17:13:17,2022-10-24 17:13:17
147,"sherbet, orange",112,,,100,,,1000,144,100,1.1,100,2,100,30.4,100,1.3,100,2022-10-24 17:13:17,2022-10-24 17:14:46
148,"parsley, fresh",87,,,100,,,1000,36,100,2.97,100,0.79,100,6.33,100,3.3,100,2022-10-24 17:13:17,2022-10-24 17:14:46
149,"applesauce, canned, unsweetened, without added ascorbic acid (includes usda commodity)",,,,100,,,1000,42,100,0.17,100,0.1,100,11.27,100,1.1,100,2022-10-24 17:13:17,2022-10-24 17:13:17
150,carob flour,,,,100,,,1000,222,100,4.62,100,0.65,100,88.88,100,39.8,100,2022-10-24 17:13:17,2022-10-24 17:13:17
151,"kumquats, raw",58,,,100,,,1000,71,100,1.88,100,0.86,100,15.9,100,6.5,100,2022-10-24 17:13:17,2022-10-24 17:14:46
152,"turnips, raw",127,0.067763,edamam_hits_similarity,100,,,1000,28,100,0.9,100,0.1,100,6.43,100,1.8,100,2022-10-24 17:13:17,2022-10-24 17:14:46
153,"pickles, cucumber, sour",,0.4074,edamam_hits_similarity,100,,,1000,11,100,0.33,100,0.2,100,2.26,100,1.2,100,2022-10-24 17:13:17,2022-10-24 17:13:17
154,"garlic chili sauce, upc: 041224872707",,0.045235,myemissions.green,100,589,healabel,1000,149,100,6.36,100,0.5,100,33.06,100,2.1,100,2022-10-24 17:13:17,2022-10-24 17:13:17
155,"wei-chuan, five spice powder, upc: 072869234643",,0.11325000000000002,myemissions.green,100,,,1000,263,100,6.09,100,8.69,100,72.12,100,21.6,100,2022-10-24 17:13:17,2022-10-24 17:13:17
